English,Indonesia
around,sekitar
doesn,tidak
name,nama
place,tempat
ever,pernah
feel,merasa
guys,Teman-teman
father,ayah
guy,pria
made,dibuat
old,tua
isn,adalah n
which,yang
big,besar
lot,banyak
done,Selesai
hello,Halo
nice,Bagus
believe,meyakini
girl,gadis
someone,seseorang
fine,Bagus
thanks,terima kasih
wanted,diinginkan
kind,baik
coming,yang akan datang
house,rumah
every,setiap
ok,Oke
through,melalui
being,makhluk
course,kursus
stay,tinggal
left,kiri
dad,ayah
enough,cukup
happened,telah terjadi
came,telah datang
may,mungkin
mother,ibu
wrong,salah
world,dunia
bad,buruk
might,mungkin
three,tiga
today,Hari ini
listen,mendengarkan
another,lain
understand,memahami
hear,mendengar
remember,Ingat
ask,bertanya
own,memiliki
same,sama
show,menunjukkan
else,kalau tidak
kill,membunuh
talking,pembicaraan
found,ditemukan
next,Berikutnya
getting,mendapatkan
care,peduli
car,mobil
looking,melihat
son,putra
try,mencoba
woman,wanita
went,telah pergi
dead,mati
many,banyak
mind,pikiran
friend,teman
best,terbaik
hell,neraka
morning,Pagi
trying,mencoba
boy,anak laki-laki
together,bersama
yourself,dirimu sendiri
job,pekerjaan
saw,gergaji
family,keluarga
real,nyata
without,tanpa
baby,Sayang
room,ruang
wouldn't,tidak akan
already,sudah
move,bergerak
most,paling
seen,terlihat
live,hidup
miss,merindukan
actually,Sebenarnya
huh,Hah
shit,kotoran
both,keduanya
heard,mendengar
once,sekali
ready,siap
head,kepala
called,ditelepon
used,digunakan
idea,ide
knew,tahu
hold,memegang
happy,senang
door,pintu
such,seperti
brother,saudara laki-laki
also,Juga
pretty,cantik
bit,sedikit
took,telah mengambil
haven,surga
yet,belum
men,laki-laki
whole,utuh
start,awal
use,menggunakan
while,ketika
since,sejak
wife,istri
days,hari
guess,tebakan
tomorrow,besok
matter,urusan
meet,bertemu
bring,membawa
tonight,malam ini
everyone,setiap orang
run,berlari
wanna,ingin
hard,keras
alone,sendiri
myself,saya sendiri
school,sekolah
gone,hilang
end,akhir
saying,pepatah
phone,telepon
play,bermain
looks,terlihat
couldn't,tidak bisa
problem,masalah
few,sedikit
friends,teman-teman
gotta,harus
ago,yang lalu
open,membuka
anyone,siapa pun
killed,terbunuh
hope,harapan
face,menghadapi
until,sampai
lost,hilang
police,POLISI
excuse,mengizinkan
turn,berbelok
business,bisnis
case,kasus
wants,ingin
says,mengatakan
die,mati
heart,jantung
soon,segera
each,setiap
worry,khawatir
later,Nanti
year,tahun
watch,jam tangan
music,musik
hand,tangan
having,memiliki
probably,mungkin
beautiful,cantik
doctor,dokter
sit,duduk
eat,makan
thinking,pemikiran
young,muda
second,Kedua
working,bekerja
water,air
person,orang
part,bagian
kids,anak-anak
late,terlambat
stuff,hal-hal
exactly,tepat
under,di bawah
death,kematian
minute,menit
pay,membayar
crazy,gila
forget,lupa
everybody,semua orang
kid,anak
change,mengubah
gave,telah memberi
happen,terjadi
damn,berengsek
five,lima
drink,minum
far,jauh
knows,tahu
its,-nya
whatever,apa pun
eyes,mata
shut,ditutup
aren,arena
hit,memukul
taking,memukau
easy,mudah
times,waktu
check,memeriksa
hands,tangan
minutes,menit
deal,kesepakatan
different,berbeda
means,cara
point,titik
inside,di dalam
makes,membuat
asked,diminta
somebody,seseorang
mine,milikku
making,membuat
body,tubuh
afraid,takut
sleep,tidur
chance,peluang
dear,Sayang
quite,lumayan
four,empat
anyway,Bagaimanapun
close,menutup
party,berpesta
fun,seru
against,melawan
word,kata
comes,datang
important,penting
set,mengatur
shall,sebaiknya
story,cerita
number,nomor
daughter,anak perempuan
least,paling sedikit
waiting,menunggu
hurt,terluka
wish,mengharapkan
moment,momen
fight,bertarung
week,pekan
husband,suami
girls,cewek-cewek
rest,istirahat
married,telah menikah
fire,api
game,permainan
nobody,bukan siapa-siapa
children,anak-anak
side,samping
stand,berdiri
read,membaca
though,meskipun
cut,memotong
started,dimulai
sister,saudari
supposed,diperkirakan
between,di antara
child,anak
goes,pergi
hours,jam
speak,berbicara
women,wanita
behind,di belakang
almost,hampir
truth,kebenaran
blood,darah
able,mampu
lady,wanita
anymore,lagi
playing,bermain
gets,mendapat
shot,tembakan
reason,alasan
trouble,masalah
break,merusak
war,perang
city,kota
walk,berjalan
town,kota
trust,memercayai
met,bertemu
office,kantor
question,pertanyaan
brought,telah membawa
yours,milikmu
welcome,selamat datang
high,tinggi
wow,Wow
couple,pasangan
half,setengah
died,mati
cool,Dingin
free,bebas
either,salah satu
seems,sepertinya
power,kekuatan
whoa,wah
bye,selamat tinggal
buy,membeli
telling,pemberitaan
honey,Sayang
tried,dicoba
front,depan
team,tim
answer,menjawab
gun,senjata
boys,anak laki-laki
line,garis
send,mengirim
news,berita
stupid,bodoh
bed,tempat tidur
hurry,buru-buru
full,penuh
months,bulan
save,menyimpan
sometimes,Kadang-kadang
become,menjadi
along,bersama
hate,membenci
food,makanan
outside,di luar
light,lampu
dog,anjing
country,negara
clear,jernih
order,memesan
fact,fakta
lord,yang mulia
captain,Kapten
six,enam
hot,panas
funny,lucu
black,hitam
alive,hidup
pick,memilih
feeling,merasa
living,hidup
cause,menyebabkan
ahead,di depan
lose,kehilangan
king,raja
plan,rencana
dinner,makan malam
sighs,menghela nafas
sort,menyortir
leaving,meninggalkan
shouldn,seharusnya
running,berlari
boss,bos
alright,Baiklah
promise,janji
taken,diambil
safe,aman
book,buku
sent,terkirim
white,putih
hour,jam
anybody,siapa saja
small,kecil
perfect,sempurna
cause,menyebabkan
lives,hidup
special,spesial
parents,orang tua
himself,diri
perhaps,mungkin
sounds,terdengar
serious,serius
sick,sakit
company,perusahaan
scared,takut
uncle,paman
poor,miskin
red,merah
past,masa lalu
earth,bumi
possible,mungkin
shoot,menembak
touch,menyentuh
sound,suara
top,atas
ass,pantat
laughs,tertawa
cannot,tidak bisa
asking,meminta
win,menang
glad,senang
control,kontrol
human,manusia
drive,menyetir
hair,rambut
jack,mendongkrak
luck,keberuntungan
murder,pembunuhan
happens,terjadi
air,udara
ten,sepuluh
finally,Akhirnya
chuckles,terkekeh
fast,cepat
cold,dingin
seem,terlihat
laughing,tertawa
words,kata-kata
hospital,rumah sakit
street,jalan
